nombre,descripcion,pregunta,accion,imagen
El Jinete,"Noticias, movimiento, llegada de algo nuevo.",¿Qué novedad está tocando tu puerta hoy?,Prepárate para recibir información importante.,"oriental\1.png"
El Trébol,"Suerte, oportunidad inesperada, momento afortunado.",¿Dónde puedes aprovechar una oportunidad hoy?,Actúa rápido ante lo inesperado.,"oriental\2.png"
El Barco,"Viajes, comercio, expansión.",¿Qué horizonte estás listo para explorar?,Planea una nueva aventura o proyecto.,"oriental\3.png"
La Casa,"Seguridad, hogar, estabilidad.",¿Qué te hace sentir en casa?,Fortalece tus raíces y tu entorno.,"oriental\4.png"
El Árbol,"Salud, crecimiento, conexión con la naturaleza.",¿Qué parte de ti necesita sanar?,Dedica tiempo al autocuidado.,"oriental\5.png"
Las Nubes,"Confusión, incertidumbre, falta de claridad.",¿Qué te impide ver con claridad?,Espera antes de tomar decisiones importantes.,"oriental\6.png"
La Serpiente,"Engaño, tentación, sabiduría oculta.",¿Qué verdad incómoda estás evitando?,Sé cauteloso y analiza bien tus opciones.,"oriental\7.png"
El Ataúd,"Finales, transformación, cierre de ciclo.",¿Qué necesitas dejar ir?,Acepta el cambio y renueva tu energía.,"oriental\8.png"
Las Flores,"Alegría, belleza, regalos.",¿Qué te hace sonreír hoy?,Disfruta de los pequeños placeres.,"oriental\9.png"
La Guadaña,"Corte, decisión rápida, ruptura.",¿Qué necesitas cortar de raíz?,Toma una decisión firme y clara.,"oriental\10.png"
El Látigo,"Conflicto, repetición, disciplina.",¿Qué patrón se repite en tu vida?,Rompe con hábitos negativos.,"oriental\11.png"
Las Aves,"Conversación, nerviosismo, comunicación.",¿Qué necesitas expresar hoy?,Habla con claridad y escucha activamente.,"oriental\12.png"
Niños,"Nuevo comienzo, inocencia, curiosidad.",¿Qué puedes ver con ojos nuevos?,Permítete explorar sin prejuicios.,"oriental\13.png"
La Zorra,"Astucia, engaño, estrategia.",¿Dónde necesitas ser más inteligente?,Actúa con precaución y lógica.,"oriental\14.png"
El Oso,"Poder, protección, fuerza.",¿Dónde puedes ejercer tu poder con sabiduría?,Defiende lo que es importante para ti.,"oriental\15.png"
Las Estrellas,"Esperanza, guía, inspiración.",¿Qué sueño estás listo para seguir?,Confía en tu visión y avanza.,"oriental\16.png"
La Cigüeña,"Cambio, transición, evolución.",¿Qué transformación estás viviendo?,Abraza el cambio con confianza.,"oriental\17.png"
El Perro,"Amistad, lealtad, confianza.",¿En quién puedes confiar plenamente?,Valora y fortalece tus relaciones cercanas.,"oriental\18.png"
La Torre,"Autoridad, aislamiento, instituciones.",¿Qué estructura necesitas cuestionar?,Evalúa las reglas que guían tu vida.,"oriental\19.png"
El Jardín,"Comunidad, reuniones, conexiones sociales.",¿Qué conexiones sociales puedes fortalecer?,Participa activamente en tu comunidad.,"oriental\20.png"
La Montaña,"Obstáculos, retos, bloqueos.",¿Qué obstáculo necesitas superar?,Enfrenta los desafíos con determinación.,"oriental\21.png"
La Encrucijada,"Decisiones, opciones, caminos a elegir.",¿Qué camino debes elegir hoy?,Evalúa tus opciones con claridad.,"oriental\22.png"
Los Ratones,"Pérdida, estrés, pequeños problemas.",¿Qué pequeños problemas te están agotando?,Resuelve los detalles antes de que crezcan.,"oriental\23.png"
El Corazón,"Amor, afecto, emociones profundas.",¿Qué despierta tu pasión hoy?,Abre tu corazón a las emociones.,"oriental\24.png"
El Anillo,"Compromisos, asociaciones, contratos.",¿Qué compromisos son importantes para ti?,Honra tus acuerdos con integridad.,"oriental\25.png"
El Libro,"Conocimiento, secretos, aprendizaje.",¿Qué necesitas aprender o descubrir?,Investiga y busca la verdad.,"oriental\26.png"
La Carta,"Mensajes, comunicación escrita, documentos.",¿Qué mensaje estás esperando?,Presta atención a la correspondencia.,"oriental\27.png"
El Caballero,"Hombre influyente, acción, liderazgo.",¿Qué rol de liderazgo puedes asumir?,Actúa con confianza y decisión.,"oriental\28.png"
La Dama,"Mujer influyente, intuición, sensibilidad.",¿Cómo puedes conectar con tu intuición?,Escucha tu voz interior.,"oriental\29.png"
El Lirio,"Paz, madurez, pureza.",¿Dónde puedes encontrar calma?,Busca la serenidad en tu interior.,"oriental\30.png"
El Sol,"Éxito, vitalidad, energía positiva.",¿Qué te llena de energía hoy?,Aprovecha tu entusiasmo para avanzar.,"oriental\31.png"
La Luna,"Intuición, emociones, sueños.",¿Qué te dicen tus sueños?,Confía en tu intuición y emociones.,"oriental\32.png"
La Llave,"Soluciones, oportunidades, acceso.",¿Qué puerta necesitas abrir?,Busca la clave para superar obstáculos.,"oriental\33.png"
Los Peces,"Abundancia, independencia, recursos.",¿Cómo puedes fluir con la abundancia?,Confía en tus recursos internos.,"oriental\34.png"
El Ancla,"Estabilidad, perseverancia, seguridad.",¿Qué te mantiene anclado?,Aférrate a tus cimientos sólidos.,"oriental\35.png"
La Cruz,"Dolor, sacrificio, pruebas.",¿Qué carga necesitas soltar?,Acepta las lecciones de las dificultades.,"oriental\36.png"
